Set parameter Threads to value 1
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter ConcurrentMIP to value 1
Set parameter MIPGap to value 0.05
Set parameter Threads to value 1
Gurobi Optimizer version 13.0.0 build v13.0.0rc1 (linux64 - "AlmaLinux 9.7 (Moss Jungle Cat)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 1 threads

Non-default parameters:
MIPGap  0.05
TSPort  4195
Threads  1

Optimize a model with 234104 rows, 5662168 columns and 95262724 nonzeros (Min)
Model fingerprint: 0x921f9440
Model has 83752 linear objective coefficients
Variable types: 5629768 continuous, 32400 integer (32400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-02, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 18291.707200
Presolve removed 0 rows and 0 columns (presolve time = 8s)...
Presolve removed 18165 rows and 30600 columns (presolve time = 11s)...
Presolve removed 18165 rows and 30600 columns (presolve time = 23s)...
Presolve removed 18165 rows and 30600 columns (presolve time = 27s)...
Presolve removed 18165 rows and 2585196 columns (presolve time = 30s)...
Presolve removed 66563 rows and 2585196 columns (presolve time = 37s)...
Presolve removed 66563 rows and 2585394 columns (presolve time = 40s)...
Presolve removed 66563 rows and 2585394 columns (presolve time = 52s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 58s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 61s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 76s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 80s)...
Presolve removed 107388 rows and 2585874 columns (presolve time = 85s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 90s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 95s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 100s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 105s)...
Presolve removed 113685 rows and 2585874 columns (presolve time = 110s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 116s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 121s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 125s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 131s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 135s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 141s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 145s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 150s)...
Presolve removed 135742 rows and 2593069 columns (presolve time = 155s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 160s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 168s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 171s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 175s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 180s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 186s)...
Presolve removed 136020 rows and 2593347 columns (presolve time = 190s)...
Presolve removed 148526 rows and 3466258 columns (presolve time = 196s)...
Presolve removed 148526 rows and 3466258 columns (presolve time = 200s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 206s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 211s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 216s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 220s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 226s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 233s)...
Presolve removed 148814 rows and 3466546 columns (presolve time = 236s)...
Presolve removed 148315 rows and 3466047 columns
Presolve time: 236.08s
Presolved: 85789 rows, 2196121 columns, 23451148 nonzeros
Variable types: 2189452 continuous, 6669 integer (6669 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  117485    4.3108343e+03   1.979191e+05   0.000000e+00    585s
  118045    4.3108343e+03   4.165305e+05   0.000000e+00    590s
  118605    4.3108344e+03   2.510198e+06   0.000000e+00    595s
  119305    4.3108345e+03   4.706523e+05   0.000000e+00    601s
  119865    4.3108345e+03   5.181719e+05   0.000000e+00    605s
Warning: Markowitz tolerance tightened to 0.03125
  120975    4.3108347e+03   3.226787e+07   0.000000e+00    613s
  121115    4.3108347e+03   4.145280e+06   0.000000e+00    615s
  121815    4.3154901e+03   4.066387e+05   0.000000e+00    621s
  122795    4.3154903e+03   8.944096e+05   0.000000e+00    625s
  123355    4.3154904e+03   2.085279e+06   0.000000e+00    630s
  123915    4.3182454e+03   2.704538e+05   0.000000e+00    635s
  124475    4.3182454e+03   2.917696e+06   0.000000e+00    640s
  125035    4.3182455e+03   3.130208e+06   0.000000e+00    645s
  126954    4.3630949e+03   9.757824e+05   0.000000e+00    650s
  127794    4.3630949e+03   1.216810e+06   0.000000e+00    655s
  128634    4.3659269e+03   7.123532e+05   0.000000e+00    661s
  129334    4.3659270e+03   2.869541e+05   0.000000e+00    665s
  129894    4.3659271e+03   1.690973e+05   0.000000e+00    670s
  130444    4.3659271e+03   4.392962e+05   0.000000e+00    677s
  130724    4.3659272e+03   1.428713e+06   0.000000e+00    681s
  131564    4.3659272e+03   4.573925e+05   0.000000e+00    685s
  132264    4.3688064e+03   9.659446e+05   0.000000e+00    690s
  132964    4.3688065e+03   5.153771e+06   0.000000e+00    696s
  133384    4.3688065e+03   7.459141e+06   0.000000e+00    701s
  133944    4.3688065e+03   1.280794e+06   0.000000e+00    706s
  134644    4.3688066e+03   4.946822e+05   0.000000e+00    710s
  135764    4.3701936e+03   3.521295e+06   0.000000e+00    716s
  136464    4.3701936e+03   2.948681e+05   0.000000e+00    721s
  137164    4.3701937e+03   1.252202e+06   0.000000e+00    725s
  138144    4.3739751e+03   5.943865e+05   0.000000e+00    731s
  138564    4.3739752e+03   8.942108e+05   0.000000e+00    736s
  139264    4.3802293e+03   4.636610e+05   0.000000e+00    740s
  139964    4.3802294e+03   1.376449e+05   0.000000e+00    745s
  140944    4.3802295e+03   2.817993e+05   0.000000e+00    751s
  141644    4.3802295e+03   5.227943e+06   0.000000e+00    755s
  142484    4.3802296e+03   7.693370e+05   0.000000e+00    760s
  143324    4.3802297e+03   1.854058e+05   0.000000e+00    765s
  143884    4.3802297e+03   1.151089e+06   0.000000e+00    770s
  144864    4.3802298e+03   1.251671e+06   0.000000e+00    776s
  145424    4.3802298e+03   1.798304e+05   0.000000e+00    780s
  146124    4.3802299e+03   1.033225e+06   0.000000e+00    786s
  146684    4.3832167e+03   1.078295e+06   0.000000e+00    790s
  147664    4.3878310e+03   4.726023e+05   0.000000e+00    796s
  148644    4.3878311e+03   2.311271e+05   0.000000e+00    801s
  149204    4.3891178e+03   9.422238e+05   0.000000e+00    806s
  150044    4.3891179e+03   7.041703e+06   0.000000e+00    810s
  150744    4.3891179e+03   5.362517e+05   0.000000e+00    816s
  151444    4.4273592e+03   3.314068e+06   0.000000e+00    820s
  152144    4.4295835e+03   1.357870e+06   0.000000e+00    826s
  152844    4.4320399e+03   9.201665e+04   0.000000e+00    831s
  153544    4.4320399e+03   7.994331e+05   0.000000e+00    836s
  154384    4.4320400e+03   1.245363e+05   0.000000e+00    840s
  154944    4.4337439e+03   1.984632e+05   0.000000e+00    845s
  155364    4.4337440e+03   5.808336e+06   0.000000e+00    850s
  156064    4.4337440e+03   3.306182e+05   0.000000e+00    856s
  156764    4.4337441e+03   8.413250e+05   0.000000e+00    861s
  157464    4.4337441e+03   1.489341e+06   0.000000e+00    866s
  157884    4.4337442e+03   6.520530e+05   0.000000e+00    870s
  158584    4.4337442e+03   1.813955e+05   0.000000e+00    876s
  159004    4.4337442e+03   9.860908e+05   0.000000e+00    880s
  159564    4.4348545e+03   6.062821e+05   0.000000e+00    886s
  160124    4.4377614e+03   7.704413e+05   0.000000e+00    890s
  160684    4.4407643e+03   4.214097e+05   0.000000e+00    895s
  161524    4.4407644e+03   2.259163e+05   0.000000e+00    900s
  162084    4.4407644e+03   2.875188e+06   0.000000e+00    906s
  162784    4.4471742e+03   2.473969e+06   0.000000e+00    910s
  163454    4.4580835e+03   1.222637e+06   0.000000e+00    915s
  163844    4.4630417e+03   4.645683e+06   0.000000e+00    922s
  164264    4.4630417e+03   1.049842e+05   0.000000e+00    925s
  164684    4.4630417e+03   2.237246e+06   0.000000e+00    930s
  165104    4.4630417e+03   4.087695e+06   0.000000e+00    936s
  165524    4.4680160e+03   2.103934e+06   0.000000e+00    942s
  165944    4.4680160e+03   3.198636e+06   0.000000e+00    945s
  166644    4.4745878e+03   6.693577e+06   0.000000e+00    951s
  167204    4.4750415e+03   6.042452e+06   0.000000e+00    956s
  167904    4.4890889e+03   2.337000e+06   0.000000e+00    960s
  168464    4.4890890e+03   7.084721e+05   0.000000e+00    967s
  168584    4.4890890e+03   2.666975e+05   0.000000e+00    970s
  169144    4.4890890e+03   3.345551e+05   0.000000e+00    976s
  169844    4.4890890e+03   7.694441e+05   0.000000e+00    981s
  170684    4.4890891e+03   1.712864e+06   0.000000e+00    986s
  171768    4.5138975e+03   1.145709e+07   0.000000e+00    990s
  172448    4.5143010e+03   1.668947e+07   0.000000e+00    996s
  173148    4.5143010e+03   4.083453e+06   0.000000e+00   1001s
  173568    4.5177434e+03   2.013472e+05   0.000000e+00   1005s
  174128    4.5177434e+03   4.736942e+06   0.000000e+00   1011s
  174828    4.5177435e+03   2.355863e+05   0.000000e+00   1016s
  175248    4.5177435e+03   2.886657e+05   0.000000e+00   1021s
  175668    4.5177435e+03   2.999256e+05   0.000000e+00   1026s
  176088    4.5177435e+03   5.577405e+05   0.000000e+00   1030s
  176368    4.5177436e+03   1.634157e+06   0.000000e+00   1036s
  176928    4.5177436e+03   4.766639e+06   0.000000e+00   1041s
  177628    4.5211939e+03   3.532766e+05   0.000000e+00   1045s
  178328    4.5211939e+03   7.004234e+05   0.000000e+00   1050s
  179028    4.5245410e+03   4.197654e+05   0.000000e+00   1056s
  179728    4.5245410e+03   1.052876e+05   0.000000e+00   1060s
  180288    4.5245411e+03   5.623581e+05   0.000000e+00   1066s
  180708    4.5246307e+03   2.150890e+05   0.000000e+00   1072s
  180988    4.5246307e+03   3.504691e+05   0.000000e+00   1077s
  181408    4.5246307e+03   3.651253e+05   0.000000e+00   1081s
  182108    4.5246308e+03   4.674151e+05   0.000000e+00   1085s
  182808    4.5246308e+03   2.852275e+06   0.000000e+00   1090s
  183368    4.5246308e+03   1.845052e+05   0.000000e+00   1095s
  184068    4.5246309e+03   5.210720e+06   0.000000e+00   1100s
  184768    4.5246309e+03   3.672918e+06   0.000000e+00   1106s
  185468    4.5282077e+03   8.979853e+05   0.000000e+00   1110s
  186308    4.5313402e+03   4.201995e+05   0.000000e+00   1115s
  187288    4.5313402e+03   4.738931e+05   0.000000e+00   1121s
  187988    4.5313402e+03   6.392492e+05   0.000000e+00   1126s
  188688    4.5313403e+03   2.713204e+06   0.000000e+00   1131s
  189388    4.5313403e+03   7.309491e+05   0.000000e+00   1136s
  189948    4.5313403e+03   3.008366e+05   0.000000e+00   1142s
  190508    4.5313404e+03   3.337272e+05   0.000000e+00   1146s
  191068    4.5313404e+03   6.838594e+05   0.000000e+00   1150s
  191768    4.5331830e+03   2.873611e+05   0.000000e+00   1156s
  192468    4.5331830e+03   2.955595e+05   0.000000e+00   1160s
  193168    4.5396943e+03   6.998195e+05   0.000000e+00   1166s
  193728    4.5396943e+03   7.703792e+05   0.000000e+00   1171s
  194288    4.5399185e+03   2.306452e+06   0.000000e+00   1176s
  194848    4.5399185e+03   8.131875e+05   0.000000e+00   1182s
  195098    4.5399185e+03   1.985340e+05   0.000000e+00   1186s
  195378    4.5399185e+03   3.046479e+05   0.000000e+00   1191s
  195938    4.5411790e+03   8.518784e+05   0.000000e+00   1195s
  196778    4.5411791e+03   4.478274e+05   0.000000e+00   1202s
  197198    4.5456415e+03   1.243235e+06   0.000000e+00   1206s
  197738    4.5456415e+03   1.602485e+05   0.000000e+00   1212s
  198008    4.5456415e+03   4.070824e+05   0.000000e+00   1217s
  198268    4.5456416e+03   2.508616e+05   0.000000e+00   1223s
  198548    4.5456416e+03   2.376621e+06   0.000000e+00   1225s
  199248    4.5456416e+03   5.151413e+05   0.000000e+00   1230s
  199948    4.5456416e+03   1.042253e+06   0.000000e+00   1236s
  200368    4.5456416e+03   3.493850e+06   0.000000e+00   1240s
  201068    4.5491083e+03   2.366227e+05   0.000000e+00   1246s
  201318    4.5491083e+03   2.823453e+05   0.000000e+00   1251s
  202018    4.5491083e+03   1.348499e+06   0.000000e+00   1256s
  202578    4.5491084e+03   1.044561e+06   0.000000e+00   1260s
  203278    4.5491084e+03   1.587449e+06   0.000000e+00   1265s
  203838    4.5491084e+03   3.054739e+05   0.000000e+00   1270s
  204098    4.5491084e+03   2.038983e+05   0.000000e+00   1276s
  204658    4.5516216e+03   7.410294e+05   0.000000e+00   1280s
  205078    4.5516217e+03   1.893394e+06   0.000000e+00   1285s
  205778    4.5516217e+03   4.010491e+05   0.000000e+00   1291s
  206198    4.5516217e+03   9.329876e+04   0.000000e+00   1295s
  206618    4.5516217e+03   9.801061e+05   0.000000e+00   1302s
  207318    4.5545013e+03   2.711140e+05   0.000000e+00   1306s
  208018    4.5546317e+03   4.059421e+05   0.000000e+00   1311s
  208298    4.5546317e+03   1.851507e+05   0.000000e+00   1315s
  208568    4.5546317e+03   6.778338e+05   0.000000e+00   1321s
  209128    4.5546317e+03   4.846561e+05   0.000000e+00   1326s
  209688    4.5546318e+03   1.897733e+06   0.000000e+00   1331s
  210108    4.5546318e+03   4.044578e+05   0.000000e+00   1336s
  210668    4.5546318e+03   1.361599e+07   0.000000e+00   1340s
  211552    4.5706318e+03   4.441908e+05   0.000000e+00   1345s
  212711    4.5731320e+03   1.849367e+06   0.000000e+00   1350s
  213172    4.5751320e+03   4.327151e+05   0.000000e+00   1355s
  213872    4.5751320e+03   1.429641e+05   0.000000e+00   1360s
  214572    4.5751321e+03   4.184769e+05   0.000000e+00   1367s
  214992    4.5751321e+03   7.115161e+05   0.000000e+00   1371s
  215412    4.5751321e+03   7.494445e+05   0.000000e+00   1375s
  215972    4.5751321e+03   2.875454e+05   0.000000e+00   1381s
  216392    4.5751321e+03   7.440537e+05   0.000000e+00   1386s
  216812    4.5751321e+03   1.614395e+06   0.000000e+00   1390s
  217512    4.5751322e+03   1.086052e+05   0.000000e+00   1395s
  217932    4.5751322e+03   9.646976e+05   0.000000e+00   1402s
  218042    4.5751322e+03   1.529923e+05   0.000000e+00   1405s
  218282    4.5751322e+03   2.797667e+06   0.000000e+00   1412s
  218382    4.5751322e+03   2.292795e+05   0.000000e+00   1415s
  218642    4.5751322e+03   3.386002e+06   0.000000e+00   1421s
  219062    4.5755886e+03   5.614952e+05   0.000000e+00   1427s
  219342    4.5762677e+03   1.719177e+05   0.000000e+00   1431s
  219622    4.5762678e+03   1.215154e+06   0.000000e+00   1435s
  220002    4.5762678e+03   5.477118e+05   0.000000e+00   1442s
  220272    4.5762678e+03   4.505407e+05   0.000000e+00   1448s
  220402    4.5762678e+03   3.486631e+05   0.000000e+00   1451s
  220682    4.5762678e+03   4.461307e+05   0.000000e+00   1457s
  221242    4.5762678e+03   3.203851e+05   0.000000e+00   1461s
  221522    4.5762678e+03   1.744186e+06   0.000000e+00   1465s
  221942    4.5762678e+03   2.623103e+05   0.000000e+00   1472s
  222222    4.5762678e+03   1.760820e+06   0.000000e+00   1477s
  222462    4.5762679e+03   1.391434e+07   0.000000e+00   1483s
  222602    4.5762679e+03   3.443520e+06   0.000000e+00   1486s
  222862    4.5762679e+03   9.880780e+05   0.000000e+00   1492s
  223282    4.5769878e+03   1.285692e+05   0.000000e+00   1496s
  223552    4.5769878e+03   6.855294e+05   0.000000e+00   1500s
  223832    4.5769879e+03   2.627890e+05   0.000000e+00   1506s
  224252    4.5769879e+03   1.006085e+05   0.000000e+00   1510s
  225092    4.5789879e+03   1.089562e+05   0.000000e+00   1515s
  225372    4.5789879e+03   3.484856e+05   0.000000e+00   1521s
  225622    4.5789879e+03   1.848503e+05   0.000000e+00   1527s
  225902    4.5789879e+03   2.205853e+05   0.000000e+00   1532s
  226302    4.5789879e+03   2.875376e+05   0.000000e+00   1538s
  226442    4.5789879e+03   1.189282e+05   0.000000e+00   1540s
  226852    4.5789880e+03   5.381739e+05   0.000000e+00   1547s
  226972    4.5789880e+03   9.156573e+05   0.000000e+00   1550s
  227232    4.5789880e+03   1.281053e+05   0.000000e+00   1555s
  227652    4.5813764e+03   1.043768e+05   0.000000e+00   1560s
  228212    4.5813764e+03   3.906097e+05   0.000000e+00   1567s
  228492    4.5813764e+03   1.257149e+06   0.000000e+00   1571s
  228912    4.5813764e+03   2.819131e+05   0.000000e+00   1575s
  229152    4.5813764e+03   4.842017e+05   0.000000e+00   1582s
  229572    4.5813764e+03   2.098096e+05   0.000000e+00   1586s
  229852    4.5813764e+03   4.003143e+05   0.000000e+00   1590s
  230412    4.5813765e+03   1.054638e+06   0.000000e+00   1595s
  230682    4.5813765e+03   8.204096e+05   0.000000e+00   1601s
  230962    4.5813765e+03   7.114635e+05   0.000000e+00   1605s
  231362    4.5813765e+03   8.774138e+05   0.000000e+00   1611s
  231782    4.5813765e+03   2.458871e+05   0.000000e+00   1615s
  232162    4.5813765e+03   2.055376e+05   0.000000e+00   1623s
  232282    4.5813765e+03   6.495554e+05   0.000000e+00   1626s
  232532    4.5813765e+03   2.264063e+05   0.000000e+00   1633s
  232662    4.5813765e+03   6.044935e+05   0.000000e+00   1636s
  232922    4.5813765e+03   2.308460e+05   0.000000e+00   1641s
  233162    4.5813765e+03   2.723743e+05   0.000000e+00   1648s
  233292    4.5813766e+03   1.053831e+05   0.000000e+00   1651s
  233552    4.5813766e+03   2.156974e+05   0.000000e+00   1655s
  233802    4.5813766e+03   4.762255e+05   0.000000e+00   1661s
  234032    4.5813766e+03   7.294176e+05   0.000000e+00   1668s
